number,Sex,Age,Rating date,Traveled date,Seat comfort,Customer service,Cleanliness,Food and Beverage,Legroom,In-flight entertainment,Value for money,Check-in and Boarding,Area,Cabin,Route
817,F,65+,27/4/2018,18-Apr,3,4,3,3,4,1,5,3,Domestic,Economy,Phoenix - Monterey
818,M,50-64,27/4/2018,18-Apr,1,5,5,4,4,2,5,5,Domestic,Economy,New York City - Charlotte
819,F,35-49,27/4/2018,18-Apr,3,1,3,2,2,5,3,3,International,Economy,New York City - London
820,M,50-64,27/4/2018,18-Apr,4,4,4,3,4,4,3,3,Caribbean,Economy,Detroit - San Juan
821,M,50-64,27/4/2018,18-Apr,1,1,1,1,1,1,1,1,International,Economy,Phoenix - Singapore
822,M,65+,27/4/2018,18-Apr,5,5,5,5,5,4,5,5,Domestic,Economy,Phoenix - Miami
823,M,35-49,27/4/2018,18-Apr,4,3,4,3,4,3,3,2,Domestic,Economy,Columbus - Boston
824,F,65+,26/4/2018,,3,4,3,3,3,3,3,4,Domestic,Economy,Manchester - West Palm Beach
825,M,50-64,26/4/2018,18-Apr,2,1,5,1,2,1,2,5,Domestic,Economy,Miami - New York City
826,M,50-64,26/4/2018,18-Apr,5,5,4,5,5,4,4,4,Domestic,First Class,Phoenix - Pittsburgh
827,F,50-64,26/4/2018,18-Apr,4,5,5,5,3,3,5,5,Domestic,Economy,Portland - Charlotte
828,M,50-64,26/4/2018,18-Apr,5,4,5,4,3,4,4,3,International,Economy,New York City - Buenos Aires
829,M,50-64,26/4/2018,18-Feb,4,4,4,3,3,1,4,4,USA,Economy,Toronto - New York City
830,F,35-49,25/4/2018,18-Apr,5,2,3,1,5,5,3,1,International,Business Class,Miami - London
831,M,50-64,25/4/2018,18-Apr,3,4,4,4,3,3,4,4,International,Economy,San Juan - Dallas
832,M,50-64,25/4/2018,18-Apr,2,4,4,2,3,3,3,3,Caribbean,Economy,Los Angeles - Antigua
833,M,35-49,25/4/2018,18-Apr,1,4,2,3,1,1,1,4,Domestic,Economy,Huntsville - Washington DC
