number,Sex,Age,Rating date,Traveled date,Seat comfort,Customer service,Cleanliness,Food and Beverage,Legroom,In-flight entertainment,Value for money,Check-in and Boarding,Area,Cabin,Route
1000,M,50-64,2018/9/4 0:00,18-Apr,5,5,5,5,5,5,5,5,Domestic,First Class,Charlotte - Fort Walton Beach
1001,M,50-64,2018/9/4 0:00,17-Oct,4,4,4,3,4,2,3,3,Domestic,First Class,Austin - Monterey
1002,M,50-64,2018/9/4 0:00,,4,4,5,4,5,4,4,5,Domestic,Economy,Pittsburgh - Orlando
1003,F,50-64,2018/9/4 0:00,,3,3,3,3,3,3,4,4,International,Economy,Vancouver - San Jose
1004,F,50-64,2018/9/4 0:00,18-Mar,2,3,3,1,3,3,3,3,Domestic,Economy,St. George - Phoenix
1005,F,50-64,2018/9/4 0:00,18-Mar,2,3,3,2,2,3,3,2,Domestic,Economy,Memphis - Washington DC
1006,M,35-49,2018/9/4 0:00,18-Mar,2,4,3,3,2,1,3,3,Domestic,Economy,Washington DC - Phoenix
1007,F,35-49,2018/9/4 0:00,18-Mar,5,5,5,3,5,3,5,5,International,Business Class,Havana - Charlotte
1008,F,50-64,2018/9/4 0:00,18-Mar,4,3,3,3,4,3,3,4,Domestic,Economy,Savannah - Buffalo
1009,F,50-64,2018/9/4 0:00,18-Apr,4,4,5,5,4,5,5,5,Canada,Economy,Fort Lauderdale - Toronto
1010,M,65+,2018/9/4 0:00,,3,3,3,3,2,3,3,4,Domestic,Economy,Milwaukee - Honolulu
1011,F,50-64,2018/9/4 0:00,18-Mar,1,1,4,1,1,1,3,2,Domestic,Economy,San Francisco - Tampa
1012,F,50-64,2018/9/4 0:00,18-Feb,5,5,5,5,5,5,5,5,Domestic,First Class,Blountville - Norfolk
1013,M,35-49,2018/9/4 0:00,18-Jan,4,5,4,4,5,2,4,5,Domestic,Economy,Boston - Dallas
1014,M,35-49,2018/9/4 0:00,18-Mar,5,3,5,4,5,3,3,5,Domestic,Economy,Miami - Memphis
1015,M,65+,2018/9/4 0:00,18-Mar,4,4,4,3,4,3,3,5,Domestic,Economy,Tampa - Phoenix
1016,F,65+,2018/9/4 0:00,18-Mar,2,3,3,3,4,3,3,3,International,Economy,Los Angeles - Sydney
1017,F,35-49,2018/9/4 0:00,,3,3,4,3,3,3,3,3,Domestic,Economy,Harrisburg - Philadelphia
1018,M,50-64,2018/9/4 0:00,18-Mar,4,4,5,4,5,3,3,5,Domestic,Business Class,Raleigh - Abilene
1019,F,35-49,2018/9/4 0:00,,4,5,4,4,4,4,4,4,Domestic,Economy,Montgomery - Colorado Springs
1020,F,35-49,2018/9/4 0:00,17-Oct,4,4,5,4,4,5,5,5,Domestic,Economy,Chicago - New York City
1021,M,35-49,2018/9/4 0:00,18-Mar,3,4,3,3,3,3,4,3,Domestic,Economy,Fort Walton Beach - Minneapolis
1022,M,50-64,2018/9/4 0:00,18-Mar,3,4,4,3,3,5,4,5,Domestic,Economy,Dallas - New York City
1023,M,50-64,2018/9/4 0:00,18-Mar,2,2,3,2,3,4,1,4,Caribbean,Economy,Philadelphia - Punta Cana
1024,M,35-49,2018/9/4 0:00,17-Oct,4,3,3,3,3,4,1,1,Domestic,Economy,Pensacola - Dallas
1025,M,50-64,2018/9/4 0:00,18-Apr,3,4,3,2,3,4,4,4,Domestic,Economy,Philadelphia - San Diego
1026,M,50-64,2018/9/4 0:00,18-Feb,1,3,3,3,1,3,1,3,International,Economy,Charlotte - Belize City
1027,F,50-64,2018/9/4 0:00,18-Mar,4,4,3,3,5,5,5,5,International,Economy,Rome - Chicago
1028,M,65+,2018/9/4 0:00,18-Mar,4,4,5,4,4,5,4,4,International,Economy,Sydney - Los Angeles
1029,M,50-64,2018/9/4 0:00,18-Feb,3,5,3,3,2,4,3,5,Domestic,Economy,Charlotte - Phoenix
1030,M,35-49,2018/9/4 0:00,18-Mar,3,4,3,3,3,3,3,3,Caribbean,Economy,Baltimore - Providenciales
1031,F,50-64,2018/9/4 0:00,18-Feb,3,4,3,3,2,3,3,5,Caribbean,Economy,Columbus - Montego Bay
1032,M,50-64,2018/9/4 0:00,18-Mar,4,4,4,3,4,3,3,4,Domestic,Economy,Cleveland - Charlotte
1033,M,50-64,2018/9/4 0:00,17-Dec,4,4,4,4,4,4,4,4,Caribbean,Economy,Dallas - San Juan
1034,M,65+,2018/9/4 0:00,,3,5,3,3,3,2,3,4,Domestic,Economy,Ontario - Washington DC
1035,M,35-49,2018/9/4 0:00,18-Apr,3,1,3,2,3,2,3,3,Caribbean,Economy,Charlotte - Aruba
1036,M,35-49,2018/9/4 0:00,18-Apr,4,5,5,5,3,4,3,5,International,Economy,London - Charlotte
1037,F,50-64,2018/9/4 0:00,18-Mar,4,4,3,2,4,4,3,3,Domestic,First Class,Palm Springs - Kansas City
1038,F,50-64,2018/9/4 0:00,17-Sep,3,5,4,3,5,3,4,4,USA,Economy,Ottawa - San Diego
1039,F,65+,2018/9/4 0:00,17-Aug,3,4,4,3,3,3,2,3,Domestic,Economy,Buffalo - Melbourne
1040,M,65+,2018/9/4 0:00,18-Mar,3,5,3,3,4,4,3,4,Caribbean,First Class,Washington DC - Havana
1041,F,50-64,2018/9/4 0:00,18-Feb,3,4,4,3,3,3,4,5,Domestic,Economy,Dallas - New Orleans
1042,F,65+,2018/9/4 0:00,18-Mar,5,5,5,4,5,3,5,5,Caribbean,Economy,Philadelphia - Montego Bay
1043,M,50-64,2018/9/4 0:00,18-Mar,3,4,5,4,4,3,3,5,Domestic,Economy,Hartford - Detroit
1044,M,35-49,2018/9/4 0:00,18-Apr,4,5,5,3,3,5,4,3,International,Economy,Chicago - Paris
1045,M,35-49,2018/9/4 0:00,18-Mar,3,3,3,3,3,1,3,3,Domestic,Economy,Charlotte - Dallas
1046,F,65+,2018/9/4 0:00,18-Apr,5,1,4,1,5,3,2,5,International,Business Class,San Francisco - Buenos Aires
1047,F,65+,2018/9/4 0:00,18-Feb,3,4,4,3,3,3,3,4,Domestic,Economy,New York City - Rapid City
1048,M,50-64,2018/9/4 0:00,17-Sep,2,4,4,3,2,3,3,4,Domestic,Economy,Austin - San Jose
1049,M,65+,2018/9/4 0:00,17-Oct,4,5,4,3,4,3,4,4,Domestic,Economy,Philadelphia - San Antonio
1050,F,50-64,2018/9/4 0:00,18-Mar,3,3,3,3,3,2,3,3,Domestic,Economy,Fresno - Richmond
1051,F,50-64,2018/9/4 0:00,18-Apr,4,5,5,3,4,3,3,5,Mexico,Economy,Vancouver - Los Cabos
1052,M,50-64,2018/9/4 0:00,18-Apr,4,4,3,3,4,3,3,4,Domestic,First Class,Houston - Phoenix
1053,M,50-64,2018/9/4 0:00,18-Feb,4,5,5,4,5,5,5,5,Domestic,First Class,New York City - Honolulu
1054,M,50-64,2018/9/4 0:00,,5,3,4,3,5,5,3,5,USA,First Class,Cancun - Chicago
1055,M,50-64,2018/9/4 0:00,18-Mar,2,5,5,3,5,5,3,5,International,Economy,Los Angeles - Sao Paulo
1056,M,50-64,2018/9/4 0:00,18-Mar,4,3,4,3,5,2,4,3,USA,Economy,Montreal - Charlotte
1057,F,50-64,2018/9/4 0:00,18-Feb,3,4,2,1,2,2,2,3,Domestic,Economy,Charlotte - Orlando
1058,M,50-64,2018/9/4 0:00,18-Apr,3,4,3,1,2,3,1,3,Caribbean,Economy,Miami - Bridgetown
1059,M,65+,2018/9/4 0:00,18-Apr,4,3,4,3,3,3,4,4,International,Economy,San Juan - State College
1060,M,65+,2018/9/4 0:00,18-Apr,4,5,5,5,4,3,5,5,Mexico,Economy,Wilkes-Barre - Cozumel
1061,M,50-64,2018/9/4 0:00,18-Mar,2,2,3,1,2,1,1,2,Domestic,Economy,Richmond - New Orleans
1062,M,50-64,2018/9/4 0:00,,5,5,5,5,5,5,5,5,Domestic,First Class,Denver - Palm Springs
1063,F,35-49,2018/9/4 0:00,18-Mar,2,4,4,3,2,3,3,3,International,Economy,Montego Bay - Philadelphia
1064,M,50-64,2018/9/4 0:00,18-Mar,5,5,5,5,5,5,5,5,Domestic,First Class,Reno - Sioux Falls
1065,F,35-49,2018/9/4 0:00,17-Nov,3,4,3,3,2,2,3,3,Caribbean,Economy,Philadelphia - Montego Bay
1066,M,35-49,2018/9/4 0:00,18-Mar,3,4,4,3,3,2,3,4,Domestic,Economy,Minneapolis - Charlotte
1067,M,35-49,2018/9/4 0:00,18-Apr,3,5,5,5,4,2,3,5,Domestic,Economy,Eugene - Phoenix
1068,F,50-64,2018/9/4 0:00,18-Feb,1,4,2,3,2,3,2,4,Domestic,Economy,Portland - Tampa
1069,M,25-34,2018/9/4 0:00,18-Mar,4,4,5,5,4,5,4,5,Mexico,Business Class,Dallas - Puerto Vallarta
1070,M,65+,2018/9/4 0:00,17-Nov,5,5,5,5,5,5,5,5,International,Business Class,Stockholm - Los Angeles
1071,F,25-34,2018/9/4 0:00,18-Apr,4,4,4,3,3,3,4,2,Domestic,Economy,New York City - Portland
1072,M,35-49,2018/9/4 0:00,18-Feb,4,4,4,4,5,5,3,5,Domestic,First Class,Kansas City - New Orleans
1073,M,50-64,2018/9/4 0:00,18-Apr,3,3,3,2,3,3,3,1,International,Economy,Auckland - Atlanta
1074,F,35-49,2018/9/4 0:00,18-Mar,3,2,3,2,3,1,3,2,Domestic,Economy,Norfolk - Albany
1075,M,35-49,2018/9/4 0:00,18-Mar,2,3,5,2,3,4,2,4,Domestic,Economy,Charlotte - Fort Lauderdale
1076,M,65+,2018/9/4 0:00,18-Mar,3,2,4,1,2,1,2,1,Domestic,Economy,Orlando - Philadelphia
1077,M,50-64,2018/9/4 0:00,18-Apr,5,5,4,4,5,5,4,5,Domestic,First Class,Maui - Orlando
1078,F,50-64,2018/9/4 0:00,17-Nov,5,5,5,5,5,5,4,5,Domestic,First Class,New York City - Las Vegas
1079,M,50-64,2018/9/4 0:00,18-Mar,3,4,5,4,5,5,4,5,Domestic,Economy,Los Angeles - Austin
1080,M,50-64,2018/9/4 0:00,,2,5,5,4,3,4,2,5,Domestic,Economy,Fresno - Indianapolis
1081,M,50-64,2018/9/4 0:00,18-Apr,4,5,4,3,3,3,5,5,Mexico,Economy,Rochester - Cancun
1082,F,35-49,2018/9/4 0:00,18-Mar,5,4,5,5,5,5,4,2,Caribbean,Economy,Chicago - Punta Cana
1083,M,35-49,2018/9/4 0:00,,1,3,3,3,1,1,2,3,Domestic,Economy,Cleveland - Washington DC
1084,M,35-49,2018/9/4 0:00,18-Mar,5,5,5,5,5,3,5,5,Domestic,Economy,Los Angeles - Las Vegas
1085,M,50-64,2018/9/4 0:00,18-Mar,4,5,4,3,4,3,5,4,Domestic,Economy,Charlotte - Denver
1086,F,35-49,2018/9/4 0:00,18-Feb,3,4,2,3,3,3,3,3,USA,Economy,Cancun - Rochester
1087,F,35-49,2018/9/4 0:00,18-Mar,5,5,5,5,5,5,5,5,Domestic,Economy,Chicago - Denver
1088,M,65+,2018/9/4 0:00,18-Apr,2,1,3,1,2,1,2,2,International,Economy,St. Lucia - Detroit
1089,M,50-64,2018/9/4 0:00,18-Apr,5,3,4,4,5,5,4,5,Domestic,Business Class,Maui - Dallas
1090,F,65+,2018/9/4 0:00,18-Apr,4,5,5,5,4,5,5,5,Domestic,Economy,Boston - Tampa
1091,M,50-64,2018/9/4 0:00,18-Jan,4,5,5,5,4,4,5,5,Domestic,Economy,Charlotte - Fort Lauderdale
1092,M,65+,2018/9/4 0:00,18-Feb,5,4,4,4,5,4,4,5,International,Business Class,London - Dallas
1093,F,50-64,2018/9/4 0:00,18-Apr,3,2,3,3,2,3,2,3,International,Economy,Philadelphia - London
1094,F,65+,2018/9/4 0:00,,3,4,4,3,1,3,3,3,Domestic,Economy,Las Vegas - New York City
1095,F,50-64,2018/9/4 0:00,18-Mar,3,4,4,3,3,4,3,4,International,Economy,Newark - Montevideo
1096,M,35-49,2018/9/4 0:00,18-Feb,3,5,5,4,3,5,4,4,USA,Economy,Cancun - Chicago
1097,M,65+,2018/9/4 0:00,18-Apr,5,5,5,5,5,5,4,5,International,Economy,San Francisco - Sao Paulo
1098,M,50-64,2018/9/4 0:00,18-Apr,3,1,2,2,3,3,1,1,Domestic,Economy,Eugene - Abilene
1099,M,65+,2018/9/4 0:00,18-Apr,5,3,4,3,5,4,4,3,International,Business Class,Dallas - Madrid
1100,M,35-49,2018/9/4 0:00,18-Apr,1,2,2,1,1,2,1,2,Domestic,First Class,Seattle - New York City
1101,M,50-64,2018/9/4 0:00,18-Feb,3,3,4,3,1,4,2,4,International,Economy,Miami - Paris
1102,M,50-64,2018/9/4 0:00,17-Dec,3,3,3,2,3,2,2,2,Domestic,Economy,Gulfport - San Francisco
1103,M,50-64,2018/8/4 0:00,18-Mar,3,3,3,4,3,4,2,3,Domestic,Economy,Dallas - Fresno
1104,F,50-64,2018/8/4 0:00,18-Mar,1,5,5,1,4,1,3,5,Domestic,First Class,Wilmington - Las Vegas
1105,M,65+,2018/8/4 0:00,18-Mar,3,4,4,2,3,4,1,3,International,Economy,New York City - Sao Paulo
1106,M,65+,2018/8/4 0:00,18-Apr,3,3,3,3,3,3,3,4,International,Economy,New York City - Belize City
1107,M,50-64,2018/8/4 0:00,18-Feb,5,5,4,4,5,4,3,5,Mexico,Business Class,Chicago - Puerto Vallarta
1108,F,65+,2018/8/4 0:00,18-Feb,3,4,3,3,3,3,3,4,International,Economy,Miami - Rio de Janeiro
1109,M,65+,2018/8/4 0:00,18-Apr,5,5,5,4,5,1,3,5,Domestic,First Class,Philadelphia - Orlando
1110,M,65+,2018/8/4 0:00,18-Mar,3,3,3,1,3,1,3,5,Domestic,Economy,Ocean City - Philadelphia
1111,M,65+,2018/8/4 0:00,18-Jan,4,5,5,4,4,5,5,4,Domestic,Economy,Dallas - Honolulu
1112,F,35-49,2018/7/4 0:00,18-Mar,1,1,2,1,1,1,1,1,Domestic,Economy,Philadelphia - Cincinnati
1113,M,65+,2018/7/4 0:00,18-Mar,5,4,5,4,4,4,4,4,International,Economy,Paris - Dallas
1114,F,50-64,2018/7/4 0:00,18-Mar,2,4,5,3,1,3,3,4,Domestic,Economy,Palm Springs - Billings
1115,M,50-64,2018/7/4 0:00,18-Mar,3,4,4,3,3,3,4,4,Domestic,Economy,Pittsburgh - Washington DC
1116,F,35-49,2018/7/4 0:00,18-Apr,1,3,4,1,3,1,1,2,USA,Economy,Toronto - Los Angeles
1117,F,50-64,2018/6/4 0:00,18-Mar,4,5,4,4,5,3,4,4,Domestic,First Class,Wilmington - New York City
1118,M,65+,2018/6/4 0:00,18-Apr,5,5,5,2,5,5,3,5,Domestic,First Class,Newark - Phoenix
1119,M,65+,2018/6/4 0:00,18-Mar,3,3,4,3,5,3,3,4,International,Economy,Dallas - Madrid
1120,F,35-49,2018/6/4 0:00,18-Apr,2,1,3,3,2,3,1,1,International,Economy,London - New York City
1121,F,25-34,2018/5/4 0:00,18-Mar,5,5,5,5,5,2,4,3,Domestic,First Class,Denver - Chicago
1122,M,35-49,2018/5/4 0:00,17-Nov,4,5,5,4,4,5,4,4,International,Economy,London - Chicago
1123,M,50-64,2018/5/4 0:00,18-Mar,4,2,4,3,4,4,4,4,International,Business Class,Philadelphia - Manchester
1124,M,25-34,2018/5/4 0:00,,3,5,3,2,3,2,3,2,Domestic,First Class,Aspen - Dallas
1125,M,25-34,2018/5/4 0:00,18-Mar,3,1,2,2,4,2,1,3,International,Business Class,New York City - Manchester
1126,M,50-64,2018/5/4 0:00,18-Apr,2,1,1,1,3,3,1,1,Domestic,Economy,Tucson - Madison
1127,F,25-34,2018/5/4 0:00,18-Mar,4,4,4,4,4,4,4,4,Domestic,Economy,Reno - Oklahoma City
1128,M,35-49,2018/5/4 0:00,18-Mar,3,4,4,3,3,4,3,4,Domestic,Economy,Austin - Philadelphia
1129,F,35-49,2018/5/4 0:00,18-Apr,3,2,1,3,2,1,2,1,Domestic,Economy,Baltimore - New York City
1130,M,35-49,2018/5/4 0:00,18-Apr,3,4,4,3,3,3,3,5,Domestic,Business Class,Dallas - Baltimore
1131,M,50-64,2018/4/4 0:00,18-Mar,5,4,5,3,5,5,3,5,Domestic,First Class,Dallas - Honolulu
1132,F,50-64,2018/4/4 0:00,18-Apr,5,5,5,5,5,5,5,5,Domestic,First Class,New Orleans - Los Angeles
1133,M,50-64,2018/4/4 0:00,18-Feb,4,4,4,4,4,3,4,4,International,Business Class,Miami - Lima
1134,M,35-49,2018/4/4 0:00,,3,5,3,3,3,3,3,5,Domestic,Economy,Little Rock - West Palm Beach
1135,M,35-49,2018/4/4 0:00,18-Mar,4,4,4,4,4,4,4,4,International,Business Class,Miami - Rio de Janeiro
1136,F,25-34,2018/4/4 0:00,18-Apr,3,3,3,3,3,1,2,1,International,Economy,Philadelphia - Amsterdam
1137,M,50-64,2018/4/4 0:00,18-Mar,3,2,3,3,3,2,3,4,Domestic,Economy,Chicago - Newark
1138,F,50-64,2018/4/4 0:00,18-Mar,1,1,1,3,1,1,1,4,Domestic,Economy,Springfield - Manchester
1139,F,35-49,2018/4/4 0:00,18-Apr,3,2,3,3,2,1,2,1,Domestic,Economy,Dallas - San Jose
1140,M,35-49,2018/4/4 0:00,18-Mar,3,3,3,2,3,1,2,3,Domestic,Economy,Dallas - Manhattan
1141,F,50-64,2018/4/4 0:00,,4,5,4,3,4,3,5,5,Domestic,Economy,Saint Louis - Miami
1142,M,65+,2018/3/4 0:00,18-Mar,3,4,3,3,1,4,3,4,Domestic,Economy,Jackson - Charlotte
1143,F,65+,2018/3/4 0:00,18-Mar,4,4,4,3,4,3,4,4,Domestic,Economy,Miami - Los Angeles
1144,M,65+,2018/3/4 0:00,18-Feb,2,5,3,1,1,4,2,5,International,First Class,Curacao - Memphis
1145,M,50-64,2018/3/4 0:00,18-Mar,2,3,2,3,2,3,3,2,International,Economy,Miami - Rio de Janeiro
1146,M,50-64,2018/3/4 0:00,18-Apr,3,4,4,3,3,3,3,5,Domestic,Economy,Cincinnati - Philadelphia
1147,M,65+,2018/3/4 0:00,18-Feb,5,5,5,5,5,5,5,5,Domestic,Economy,Newark - Phoenix
1148,M,65+,2018/3/4 0:00,18-Mar,4,4,3,3,4,3,3,3,Domestic,First Class,Sacramento - Los Angeles
1149,M,50-64,2018/3/4 0:00,18-Apr,2,1,2,2,2,2,3,1,Domestic,Economy,Miami - Las Vegas
1150,F,50-64,2018/2/4 0:00,,3,2,4,4,3,4,3,4,Domestic,Economy,Syracuse - Maui
1151,M,50-64,2018/2/4 0:00,18-Mar,3,4,3,3,3,3,3,3,Domestic,Economy,New Orleans - Philadelphia
1152,M,50-64,2018/2/4 0:00,18-Mar,2,1,2,3,2,1,1,2,International,Business Class,New York City - Zurich
1153,M,35-49,2018/2/4 0:00,18-Mar,3,3,3,3,2,3,3,1,International,Economy,Las Vegas - Guangzhou
1154,M,50-64,2018/2/4 0:00,18-Mar,3,3,2,3,3,4,4,3,Domestic,Economy,Bakersfield - Baton Rouge
1155,M,35-49,2018/2/4 0:00,18-Mar,5,5,5,5,5,5,5,5,Domestic,First Class,Los Angeles - Austin
1156,M,65+,2018/2/4 0:00,18-Apr,5,4,3,3,5,3,5,5,Domestic,First Class,Portland - Chicago
1157,M,50-64,2018/2/4 0:00,18-Mar,5,5,5,5,5,5,5,5,International,Business Class,Manchester - Chicago
1158,F,35-49,2018/2/4 0:00,18-Mar,2,3,3,3,2,3,3,3,Domestic,Economy,San Antonio - Charlotte
1159,M,65+,2018/1/4 0:00,,5,4,5,5,4,5,5,4,International,Economy,London - Miami
1160,F,50-64,2018/1/4 0:00,18-Mar,3,3,5,3,1,1,2,5,Domestic,Economy,Greensboro - Chicago
1161,F,65+,2018/1/4 0:00,18-Mar,4,4,4,3,5,1,3,4,Domestic,First Class,Boston - Phoenix
1162,M,50-64,2018/1/4 0:00,18-Mar,3,3,4,3,3,2,2,3,Caribbean,Business Class,Syracuse - San Juan
1163,F,35-49,2018/1/4 0:00,18-Jan,3,5,3,3,3,5,4,5,Domestic,Economy,Orlando - Seattle
1164,M,50-64,2018/1/4 0:00,18-Mar,3,2,3,2,3,2,1,3,Mexico,Economy,Phoenix - Puerto Vallarta
1165,F,50-64,2018/1/4 0:00,18-Mar,3,2,3,2,4,4,3,3,Caribbean,Economy,Dallas - San Juan
1166,M,50-64,31/3/2018,18-Mar,4,4,4,4,4,4,4,4,Domestic,Economy,Charlotte - Phoenix
1167,M,65+,31/3/2018,18-Mar,3,5,4,3,3,3,3,5,Domestic,Economy,Harrisburg - Raleigh
1168,F,50-64,31/3/2018,18-Feb,4,5,4,4,5,5,3,4,Domestic,Economy,Los Angeles - Honolulu
1169,F,35-49,31/3/2018,18-Mar,2,3,1,2,2,3,3,2,International,Economy,Budapest - San Juan
1170,M,65+,30/3/2018,18-Mar,3,4,4,3,3,2,3,2,Caribbean,Economy,Evansville - Nassau
1171,M,50-64,30/3/2018,18-Mar,5,5,5,5,5,5,5,5,Domestic,Economy,Pittsburgh - Philadelphia
1172,F,50-64,30/3/2018,18-Mar,5,3,3,2,5,5,3,3,Domestic,Economy,Durango - Washington DC
1173,M,35-49,30/3/2018,18-Mar,1,3,3,3,2,3,2,3,Domestic,Economy,Chicago - Las Vegas
1174,F,50-64,30/3/2018,18-Mar,1,3,1,3,1,3,2,2,Caribbean,Economy,Philadelphia - Montego Bay
1175,M,50-64,30/3/2018,18-Mar,4,5,4,4,4,4,4,5,Mexico,Economy,Chicago - Cancun
1176,F,35-49,30/3/2018,18-Mar,2,4,3,2,2,3,4,4,USA,Economy,Los Cabos - Phoenix
1177,M,50-64,30/3/2018,,3,4,4,3,2,3,4,4,Domestic,Economy,Raleigh - Chicago
1178,M,25-34,30/3/2018,18-Mar,5,4,5,5,5,5,1,5,Domestic,Economy,Oklahoma City - Maui
1179,M,25-34,30/3/2018,18-Mar,3,3,4,2,3,5,3,4,International,Economy,Dallas - London
1180,F,50-64,29/3/2018,18-Mar,5,2,5,1,4,4,4,4,Domestic,Economy,Miami - San Francisco
1181,F,50-64,29/3/2018,17-Apr,2,3,5,2,4,5,1,3,International,Economy,Bridgetown - Miami
1182,F,25-34,29/3/2018,18-Mar,3,3,4,1,3,1,2,5,USA,Economy,Montreal - Los Angeles
1183,F,50-64,29/3/2018,18-Mar,3,4,3,3,3,3,3,4,Domestic,Economy,Buffalo - Savannah
1184,M,50-64,29/3/2018,18-Mar,3,4,4,3,3,4,4,4,Domestic,Economy,Salt Lake City - New York City
1185,F,50-64,29/3/2018,18-Mar,4,4,4,4,4,3,4,4,Domestic,Economy,Nashville - Phoenix
1186,M,35-49,29/3/2018,18-Mar,3,5,5,3,5,5,3,4,Domestic,Economy,Dallas - Los Angeles
1187,F,50-64,29/3/2018,18-Mar,4,4,4,4,4,4,4,5,Caribbean,Economy,Boston - Curacao
1188,F,50-64,28/3/2018,18-Mar,3,1,3,2,3,2,1,1,Caribbean,Economy,Syracuse - Puerto Plata
1189,M,50-64,28/3/2018,,3,3,3,3,3,1,3,2,Domestic,Economy,Abilene - Kansas City
1190,M,50-64,28/3/2018,18-Feb,5,5,5,5,4,5,4,5,Domestic,Economy,Detroit - Honolulu
1191,M,35-49,28/3/2018,18-Jan,5,5,5,5,5,2,5,5,Domestic,Business Class,New York City - West Palm Beach
1192,M,25-34,28/3/2018,18-Mar,5,4,4,4,5,5,4,4,Domestic,Economy,Dallas - Las Vegas
1193,F,50-64,28/3/2018,18-Mar,2,4,4,3,4,4,4,4,International,Economy,Los Angeles - Auckland
1194,M,50-64,28/3/2018,18-Mar,3,1,2,2,3,1,1,2,Domestic,Business Class,Seattle - Hartford
1195,M,50-64,28/3/2018,18-Mar,5,4,5,3,5,4,5,5,Domestic,First Class,Colorado Springs - Dallas
1196,M,65+,28/3/2018,18-Jan,2,3,5,2,3,3,3,5,Domestic,Economy,Wausau - Tampa
1197,F,35-49,28/3/2018,18-Feb,3,1,4,3,3,3,4,2,International,Economy,Providenciales - Charlotte
1198,M,50-64,28/3/2018,18-Mar,1,1,1,1,1,1,1,3,Domestic,Economy,Chicago - Houston
1199,F,50-64,27/3/2018,18-Mar,2,1,3,3,2,4,2,3,Caribbean,Economy,Charlotte - Antigua
1200,M,50-64,27/3/2018,,5,5,5,5,4,5,5,5,Domestic,Economy,Dallas - Seattle
1201,M,35-49,27/3/2018,18-Mar,3,4,5,3,4,4,4,4,Domestic,Economy,Providence - Denver
1202,M,50-64,27/3/2018,18-Mar,3,4,4,3,3,2,4,4,Domestic,Economy,Phoenix - Montrose
1203,M,65+,27/3/2018,18-Mar,2,4,4,2,2,1,3,5,Caribbean,Economy,Pittsburgh - Montego Bay
1204,M,35-49,27/3/2018,18-Mar,4,5,4,4,4,5,3,4,Mexico,Economy,Dallas - Cancun
1205,M,35-49,27/3/2018,18-Mar,4,5,5,3,4,4,4,5,Domestic,Economy,Los Angeles - Maui
1206,M,50-64,26/3/2018,18-Mar,5,5,4,3,5,3,4,5,Domestic,Business Class,Nashville - Tucson
1207,M,65+,26/3/2018,18-Mar,3,5,4,5,3,2,3,2,International,Economy,Detroit - Manchester
1208,M,50-64,26/3/2018,18-Mar,3,4,4,4,3,4,5,4,Domestic,Economy,Dallas - New York City
1209,M,65+,26/3/2018,18-Feb,3,4,3,1,3,1,3,4,International,Business Class,Punta Cana - Charlotte
1210,M,65+,26/3/2018,18-Mar,4,3,4,2,4,1,1,4,Caribbean,Business Class,Charlotte - Punta Cana
1211,F,18-24,26/3/2018,,4,4,4,3,4,5,3,4,International,Economy,Bridgetown - Miami
1212,F,50-64,26/3/2018,18-Mar,2,3,4,3,2,1,3,4,Domestic,Economy,Boston - Phoenix
1213,M,50-64,26/3/2018,18-Mar,3,5,5,3,3,5,4,5,Domestic,Economy,Charlotte - Las Vegas
1214,M,50-64,25/3/2018,18-Mar,2,1,2,3,2,1,3,1,Domestic,Economy,Detroit - New York City
1215,M,50-64,25/3/2018,18-Mar,4,5,4,3,5,3,4,4,Domestic,Business Class,Hartford - Washington DC
1216,M,65+,25/3/2018,18-Mar,3,5,5,4,3,4,4,5,Domestic,Economy,Omaha - Phoenix
1217,M,35-49,25/3/2018,18-Feb,4,5,5,3,4,3,5,5,Domestic,Economy,New York City - Nashville
1218,M,18-24,25/3/2018,18-Mar,3,4,3,3,3,4,2,1,Domestic,Economy,Los Angeles - Memphis
1219,F,35-49,24/3/2018,18-Mar,3,4,4,3,3,2,4,4,International,Economy,San Jose - Phoenix
1220,F,50-64,24/3/2018,18-Mar,3,5,5,3,3,3,5,5,Domestic,Economy,Sacramento - Phoenix
1221,M,50-64,24/3/2018,18-Mar,5,5,5,5,5,2,5,5,Domestic,Economy,San Antonio - Las Vegas
1222,M,50-64,24/3/2018,18-Jan,2,3,3,1,2,3,3,1,Domestic,Economy,Atlanta - Dallas
1223,M,35-49,23/3/2018,18-Mar,4,4,4,4,5,2,4,4,Mexico,Business Class,Dallas - Mexico City
1224,M,65+,23/3/2018,17-Dec,4,4,5,5,3,4,4,5,Domestic,Economy,Maui - Dallas
1225,M,50-64,23/3/2018,18-Mar,1,2,2,2,1,1,1,1,Domestic,Economy,New Orleans - Waco
1226,M,65+,23/3/2018,18-Mar,5,5,5,5,5,4,4,5,Domestic,First Class,Saint Louis - Charleston
1227,M,65+,23/3/2018,18-Mar,5,5,5,5,5,5,5,5,International,First Class,St Martin / St Maarten - Miami
1228,M,65+,23/3/2018,18-Mar,3,4,4,3,3,3,3,4,International,Economy,Springfield - San Jose
1229,M,50-64,23/3/2018,18-Mar,4,4,4,2,4,3,3,5,Domestic,Economy,New York City - Vail
1230,M,35-49,23/3/2018,18-Mar,3,4,4,2,4,4,4,3,Domestic,Economy,Miami - San Francisco
1231,M,50-64,23/3/2018,18-Mar,5,5,5,3,5,4,5,5,Domestic,First Class,Columbus - Dallas
